Hindi,Tulu
ठंड,ಚಳಿ
गर्मी,ಬೆಚ್ಚ
मौसम,ಕಾಲ
समय,ಪೊರ್ತು
दिन,ದಿನ
तारीख,ದಿನಾಂಕ
महीना,ತಿಂಗೊಲ್
साल,ವರ್ಷ
घंटा,ಗಂಟೆ
मिनट,ನಿಮಿಶೊಲು
सेकंड,ಸೆಕೆಂಡ್
पहले,ಕಡಿರ್
बाद,ಬೊಕ
जल्दी,ಬೇಗ
देर,ತಡ
इंतजार,ಕಾಪು
मौका,ಅವಕಾಶ
खुशी,ಖುಷಿ
सफलता,ಯಶಸ್ಸು
असफलता,ಸೋಪುನು
हार,ಮಾಲೆ
जीत,ಗೆಲುವು
ताकत,ಬಲ
कमजोरी,ನಿಶ್ಯಕ್ತಿ
स्वास्थ्य,ಆರೋಗ್ಯ
बीमारी,ಸೀಕ್
डॉक्टर,ಡಾಕ್ಟ್ರು
दवा,ಮರ್ದ್
अस्पताल,ಆಸ್ಪತ್ರೆ
मदद,ಸಹಾಯ
सेवा,ಸೇವೆ
परिवार,ಕುಟುಂಬ
माता,ಅಪ್ಪೆ
पिता,ಅಮ್ಮೆ
बहन,ಮೆಗ್ದಿ
भाई,ಪಲಯೆ
चाचा,ಮಾಮು
चाची,ಮಾಮಿ
ताऊ,ದೊಡ್ಡಪ್ಪ
ताई,ಅಕ್ಕ
मामा,ಮಾಮು
मामी,ಮಾಮಿ
दादी,ಅಜ್ಜಿ
दादा,ಅಜ್ಜ
नाना,ಅಜ್ಜ
नानी,ಅಪ್ಪೆನ ಅಜ್ಜಿ
बेटी,ಮಗಲ್
बेटा,ಮಗೆ
मंगेतर,ಮದಿಮೆ ಆಪುನಾರ್
पति,ಕಂಡನೆ
पत्नी,ಬೊಡೆದಿ
रिश्ते,ಸಂಬಂಧೊಲು
दोस्त,ಸ್ನೇಹಿತೆ
दुश्मन,ಶತ್ರು
झगड़ा,ಲಡಾಯಿ
सुलह,ರಾಜಿ ಮಲ್ಪುನ
बात,ಪಾತೆರ
बातचीत,ಪಾತೆರಕತೆ
सवाल,ಪ್ರಶ್ನೆ
जवाब,ಉತ್ತರ
संवाद,ಸಂಭಾಷಣೆ
सपना,ಕನ
हकीकत,ವಾಸ್ತವಿಕತೆ
विचार,ಉಪಾಯ
अनुभव,ಅನುಭವ
भावना,ಭಾವನೆ
शांति,ಶಾಂತತೆ
युद्ध,ಯುದ್ಧ
संघर्ष,ಲಡಾಯಿ
योजना,ಯೋಜನೆ
लक्ष्य,ಏಮ್
महत्वाकांक्षा,ಮಲ್ಲ ಉದ್ದೇಶ
इच्छा,ಬಯಕೆ
प्रयास,ಪ್ರಯತ್ನ್ಸ
मेहनत,ಕಷ್ಟದ ಬೇಲೆ
आराम,ಆರಾಮ
योग,ಒಟ್ಟು
साधना,ಧ್ಯಾನ
पूजा,ಪ್ರಾರ್ಥನೆ
मंदिर,ದೇವಸ್ಥಾನ
मस्जिद,ಮಸೀದಿ
चर्च,ಚರ್ಚ್
गुरुद्वारा,ಗುರುದ್ವಾರ
प्रार्थना,ಪ್ರಾರ್ಥನೆ
भगवान,ದೇವೆರ್
देवता,ದೇವೆರ್
देवी,ದೇವಿ
आत्मा,ಆತ್ಮ
दान,ದಾನ
सेवा,ಸೇವೆ
कर्तव्य,ಕಜ್ಜ
अधिकार,ಹಕ್ಕುಲು
न्याय,ನ್ಯಾಯ
समानता,ಸಮಾನತೆ
स्वतंत्रता,ಸ್ವಾತಂತ್ರ್ಯ
कानून,ಕಾನೂನು
अदालत,ಕೋರ್ಟು
अपराध,ಅಪರಾಧ
जुर्म,ಅಪರಾಧ
सजा,ಶಿಕ್ಷೆ
माफी,ಕ್ಷಮೆ
नियम,ನಿಯಮ
पालन,ಒಪ್ಪಿಗೆ
सुरक्षा,ಕಾಪುನಾಯೆ
खतरा,ಅಪಾಯ
सतर्कता,ಜಾಗ್ರತೆ
साधन,ಸಂಪನ್ಮೂಲ
प्रगति,ಪ್ರಗತಿ
विकास,ಅಭಿವೃದ್ಧಿ
आलू,ಬಟಾಟೆ
पपीता,ಪಪ್ಪಾಯಿ
संतरा,ಕಿತ್ತಲೆ
केला,ಪರ್ನ್ದು
नींबू,ನಿಂಬೆ
गोभी,ಹೂಕೋಸು
मटर,ಬಟಾಣಿ
मिर्च,ಮೆಣಸಿನಕಾಯಿ
अदरक,ಸೂಂಠಿ
टमाटर,ಟೊಮೆಟೊ
लौकी,ಬಾಟಲಿ ಕೋಸು
चुकंदर,ಬೀಟ್ರೂಟ್
मूली,ಮೂಲಂಗಿ
गाजर,ಕ್ಯಾರೆಟ್
पालक,ಬಸಳೆ
तोरी,ಕುಂಬಳಕಾಯಿ
सेब,ಸೇಬ್
अनार,ದಾಳಿಂಬೆ
अमरूद,ಪೇರಳೆ
लीची,ಲಿಚ್ಚಿ
जामुन,ಜಾಮುನ್
आंवला,ಗೂಸ್ಬೆರಿ
फालसा,ಫಾಲ್ಸಾ
बेल,ಬೆಲ್
खरबूजा,ಕಲ್ಲಂಗಡಿ
तरबूज,ಬಚ್ಚಂಕಾಯಿ
जलेबी,ಜಲೆಬಿ
गुलाब जामुन,ಸಿಹಿ ಖಾದ್ಯ
रसगुल्ला,ರಸ್ಗುಲ್ಲ
मिठाई,ತೀಪೆ
दूध,ಪೇರ್
दही,ದೋಸೆ
मक्खन,ಬೊಳ್ ನೈ
पनीर,ಬೊಳ್ನೆಯ್
छाछ,ಮಜ್ಜಿಗೆ
मलाई,ಕೆನೆ
दाल,ಮಸೂರ
बेसन,ಗ್ರಾಂ ಹಿಟ್ಟು
मसाला,ಮಸಾಲೆ
हल्दी,ಮಂಜಲ್
लहसुन,ಬೊಳ್ಳುಳ್ಳಿ
प्याज,ನೀರುಳ್ಳಿ
हरी मिर्च,ಪಚ್ಚೆ ಮು೦ಚಿ
लाल मिर्च,ಕೆಂಪು ಮು೦ಚಿ
धनिया,ಕೊತ್ತಂಬರಿ
जीरा,ಜೀರಿಗೆ
कसूरी मेथी,ಮೆಂತೆ ಬೀಜೊಲು
चटनी,ಚಟ್ನಿ
सूप,ಸಾರ್
पुलाव,ಪಲಾವ್
बिरयानी,ಬಿರಿಯಾನಿ
खिचड़ी,ಕಿಚಡಿ
इडली,ಇಡ್ಲಿ
डोसा,ದೋಸೆ
रसम,ರಸಮ್
सांभर,ಸಾಂಬಾರ್
पोंगल,ಪೊಂಗಲ್
उपमा,ಉಪಮಾ
पराठा,ಪರಥ
पूड़ी,ಪುರಿ
मक्के की रोटी,ಕಾರ್ನ್ ಬ್ರೆಡ್
लस्सी,ಲಸ್ಸಿ
शरबत,ಶರ್ಬೆಟ್
जूस,ಜ್ಯೂಸ್
कॉफी,ಕಾಫಿ
चाय,ಚಾ
भुट्टा,ಜೋಳ
तंदूरी,ತಂದೂರಿ
कोफ्ता,ಕೊಫ್ತಾ
कचौड़ी,ಕಚೋರಿ
पकौड़ा,ಪಕೊಡ
समोसा,ಸಮೋಸಾ
ढोकला,ಧೋಕ್ಲ
खाकरा,ಖಕ್ರ
थाली,ಪ್ಲೇಟ್
चपाती,ಚಪತಿ
बाजरा,ರಾಗಿ
जौ,ಬಾರ್ಲಿ
गेहूं,ಗೋಧಿ
मूंग,ಮೂಂಗ್
मसूर,ಮಸೂರ
उड़द,ಉರಾದ್
चना,ಗ್ರಾಮ್
मूंगफली,ನೆಲಕಾಯಿ
साबूदाना,ಸಾಗೊ
सत्तू,ಬಾರ್ಲಿ
आम,ಕುಕ್ಕು
शहद,ಜೇನು
गुड़,ಬೆಲ್ಲ
बर्फ,ಐಸ್
समुद्र,ಕಡಲ್
नदी,ತುದೆ
झील,ಮಲ್ಲ ಕಿರೆ
तालाब,ಕೆದು
झरना,ಜಲಪಾತ
पहाड़,ಪರ್ವತ
पत्थर,ಕಲ್ಲು
रेगिस्तान,ಪಡಿಲ್ ನೆಲ
जंगल,ಕಾಡ್
खेत,ತೋಟ
आकाश,ಬಾನ
सूरज,ಸೂರ್ಯೆ
चाँद,ಚಂದ್ರೆ
तारे,ನಕ್ಷತ್ರೊಲು
रात,ರಾತ್ರೆ
शाम,ಬಯ್ಯ
सुबह,ಕಾಂಡೆ
सर्दी,ಚಳಿಗಾಲ
बरसात,ಬರ್ಸ
मौसम,ಕಾಲ
तापमान,ತಾಪಮಾನ
बिजली,ವಿದ್ಯುತ್
बादल,ಮೋಡ
हवा,ಗಾಳಿ
आंधी,ಬಿರುಗಾಳಿ
शांति,ಶಾಂತತೆ
ताकत,ಬಲ
ज्ञान,ಜ್ಞಾನ
शिक्षा,ಕಲ್ಪಾಟಿಗೆ
सीख,ಕಲಿಪಾಟಿಕೆ
समझ,ಅರ್ಥ ಮಲ್ಪುನ
ज्ञान,ಜ್ಞಾನ
गुरु,ಗುರುಕ್ಕುಲು
विद्यार्थी,ವಿದ್ಯಾರ್ಥಿ
विद्यालय,ಶಾಲೆ
कक्षा,ಕ್ಲಾಸ್
शिक्षक,ಗುರುಕ್ಕುಲು
शिक्षा,ಶಿಕ್ಷಣ
पाठ,"ಪಾಠ,"
पुस्तक,ಪುಸ್ತಕ
पढ़ाई,ಅಧ್ಯಯನ
अंक,ಅಂಕ
परीक्षा,ಪರೀಕ್ಷೆ
परिणाम,ಫಲಿತ
विषय,ವಿಷಯ
विज्ञान,ವಿಜ್ಞಾನ
गणित,ಗಣಿತ
कला,ಕಲೆಗಾರಿಕೆ
समाज,ಸಮಾಜ
इतिहास,ಚರಿತ್ರೆ
भूगोल,ಭೂಗೋಳಶಾಸ್ತ್ರ
भाषा,ಭಾಷೆ
अंग्रेजी,ಇಂಗ್ಲಿಷ್
संस्कृत,ಸಂಸ್ಕೃತ
हिंदी,ಹಿಂದಿ
स्पोर्ट्स,ಕ್ರೀಡೆ
प्रतियोगिता,ಪಂತ
खेल,ಗೊಬ್ಬು
मैदान,ಕ್ಷೇತ್ರೊ
दौड़,ಪಂತ
फुटबॉल,ಫುಟ್ಬಾಲ್
क्रिकेट,ಕ್ರಿಕೆಟ್
बास्केटबॉल,ಬಾಸ್ಕೆಟ್ಬಾಲ್
वॉलीबॉल,ವಾಲಿಬಾಲ್
बैडमिंटन,ಬ್ಯಾಡ್ಮಿಂಟನ್
टेनिस,ಟೆನ್ನಿಸ್
हॉकी,ಹಾಕಿ
तैराकी,ನೀಂದುನು
कुश्ती,ಕುಸ್ತಿ
योगा,ಯೋಗ
ध्यान,ಗುಮನ
संगीत,ಪದ್ಯ
नृत्य,ನಲ್ಪು
चित्रकला,ಚಿತ್ರ
पेंटिंग,ಚಿತ್ರ
मूर्ति,ಮೂರ್ತಿ
नाटक,ನಾಟಕ
लेखन,ಬರೆಪಿನಿ
कविता,ಪದ್ಯ
कहानी,ಕತೆ
संवाद,ಸಂಭಾಷಣೆ
भाषण,ಪಾತೆರ
विचार,ಉಪಾಯ
प्रेरणा,ಸ್ಪೂರ್ತಿ
आदर्श,ಮಾದರಿ
उद्देश्य,ಉದ್ದೇಶ
साहस,ಧೈರ್ಯ
भरोसा,ಭರವಸೆ
विश्वास,ನಂಬಿಕೆ
उम्मीद,ಭರವಸೆ
सफलता,ಯಶಸ್ಸು
उपलब्धि,ಸಾಧನೆ
चुनौती,ಸವಾಲ್
कोशिश,ಪ್ರಯತ್ನ
मेहनत,ಕಷ್ಟದ ಬೇಲೆ
आदत,ಅಭ್ಯಾಸ
समय,ಪೊರ್ತು
घटना,ಲೇಸ್
क्षण,ಪೊರ್ತು
पल,ಪೊರ್ತು
सपना,ಕನ
संकल्प,ತೀರ್ಮಾನ
प्यार,ಪ್ರೀತಿ
दोस्ती,ದೋಸ್ತಿಕತೆ
भावना,ಭಾವನೆ
झगड़ा,ಲಡಾಯಿ
गुस्सा,ಗರ್ವ
सहानुभूति,ಕನಿಕರ
समर्थन,ಸಮರ್ಥನ
सहयोग,ಸಹಯೋಗ
प्रेम,ಪ್ರೀತಿ
मिठास,ಸಿಹಿ
संतोष,ತೃಪ್ತಿ
प्रसन्नता,ಖುಷಿ
उत्साह,ಉಲ್ಲಾಸ
आश्चर्य,ಅದ್ಭುತ
अजीब,ಗುರ್ತ ಉಪ್ಪಂದಿನ
आनंद,ಖುಷಿ
शांति,ಶಾಂತತೆ
संवाद,ಸಂಭಾಷಣೆ
प्रेरणा,ಸ್ಪೂರ್ತಿ
साक्षात्कार,ಸಂದರ್ಶನ
उत्सव,ಆಚರಣೆ
छुट्टी,ರಜೆ
शादी,ಮದ್ಮೆ
समारोह,ಆಚರಣೆ
कार्यक्रम,ಕಾರ್ಯಕ್ರಮ
यात्रा,ತಿರ್ಗಾಟ
सफर,ತಿರ್ಗಾಟ
यात्र,ತಿರ್ಗಾಟ
पर्यटन,ಪ್ರವಾಸೋದ್ಯಮ
प्रकृति,ಸ್ವಭಾವ
सागर,ಕಡಲ್
पहाड़ी,ಗುಡ್ಡೆ
झरना,ಜಲಪಾತ
तालाब,ಕೆದು
कुंड,ಕೆದು
समुद्र,ಕಡಲ್
रेगिस्तान,ಪಡಿಲ್ ನೆಲ
बादल,ಮೋಡ
बरसात,ಬರ್ಸ
तूफान,ಬಿರುಗಾಳಿ
बिजली,ವಿದ್ಯುತ್
सूर्य,ಸೂರ್ಯೆ
चाँद,ಚಂದ್ರೆ
तारे,ನಕ್ಷತ್ರೊಲು
पृथ्वी,ಭೂಮಿ
ग्रह,ಗ್ರಹ
आकाश,ಬಾನ
गगन,ಬಾನ
अंतरिक्ष,ಬಾನ
वैज्ञानिक,ವಿಜ್ಞಾನಿ
ध्वनि,ಶಬ್ದ
उर्जा,ಬಲ
द्रव्य,ನೀರ್
परमाणु,ಪರಮಾಣು
अणु,ಅಣು
पदार्थ,ವಸ್ತ್
बल,ಒತ್ತಡ
गुरुत्व,ಗುರುತ್ವಾಕರ್ಷಣೆ
चुम्बक,ಆಯಸ್ಕಾಂತ
विकिरण,ವಿಕಿರಣ
तत्व,ಮೂಲವಸ್ತು
विद्युत,ವಿದ್ಯುತ್
धारा,ಧಾರೆ
वोल्टेज,ವೋಲ್ಟೇಜ್
करंट,ಇತ್ತೆದ
सर्किट,ಸರ್ಕ್ಯೂಟ್
गणना,ಲೆಕ್ಕ
अंकगणित,ಅಂಕಗಣಿತ
गणित,ಗಣಿತ
त्रिकोणमिति,ತ್ರಿಕೋನಮಿತಿ
बीजगणित,ಬೀಜಗಣಿತ
समीक,ಸಮೀಕ್
समीकरण,ಸಮೀಕರಣ
ज्यामिति,ಜ್ಯಾಮಿತಿ
आकार,ಸೈಝ್
रेखा,ಗೆರೆ
कोण,ಕೋನ
वृत्त,ಉರುಂಟು
वर्ग,ಸಾಮಾಜಿಕ ವರ್ಗ
पाई,ಪೈ
आयतन,ಒಟ್ಟು ಮೊತ್ತ
क्षेत्रफल,ಜಾಗ
द्रव्यमान,ಗರ್ದಿ
वजन,ತೂಕ
आयाम,ಆಯಾಮೊಲು
समय,ಪೊರ್ತು
साल,ವರ್ಷ
शतक,ನೂದುವರ್ಸ
दशक,ಪತ್ತುವರ್ಷ
युग,ಯುಗ
शांति,ಶಾಂತತೆ
जनसंख्या,ಜನಸಂಖ್ಯೆ
समाज,ಸಮಾಜ
शहर,ಪೇಂಟೆ
गांव,ಗ್ರಾಮ
प्रदेश,ಸ್ಥಿತಿ
राष्ट्र,ರಾಷ್ಟ್ರ
सीमा,ಮಿತಿ
दुश्मन,ಶತ್ರು
मित्र,ದೋಸ್ತಿಲು
सम्बन्ध,ಸಮ್ಮಂದ
सुरक्षा,ಕಾಪುನಾಯೆ
शासन,ಸರ್ಕಾರ
संविधान,ಸಂವಿಧಾನ
कानून,ಕಾನೂನು
संसद,ಪಾರ್ಲಿಮೆಂಟ್
सरकार,ಸರ್ಕಾರ
नियम,ನಿಯಮ
सेना,ಸೈನ್ಯ
हथियार,ಆಯುಧ
युद्ध,ಯುದ್ಧ
संघर्ष,ಲಡಾಯಿ
शांति,ಶಾಂತತೆ
भविष्य,ಭವಿಷ್ಯ
वर्तमान,ಇತ್ತೆ
क्रांति,ಬದಲಾವಣೆ ಮಲ್ಪುನು
लोकतंत्र,ಪ್ರಜಾತಂತ್ರೊ
अधिकार,ಹಕ್ಕುಲು
समानता,ಸಮಾನತೆ
धर्म,ಧರ್ಮ
